Station,Species,Individual,Date,Time,delta.time.days,wkdays
H09,dogs,Cl01,1/24/2019,11:24:04,0,82
H11,dogs,Cl02,12/29/2018,22:05:50,0,80
H12,dogs,Cl03,1/13/2019,9:52:47,0,80
H12,dogs,Cl03,2/21/2019,14:07:02,39.2,80
H12,dogs,Cl03,2/26/2019,6:41:42,4.7,80
H12,dogs,Cl03,2/27/2019,14:20:56,1.3,80
H12,dogs,Cl03,3/2/2019,13:44:53,3,80
H12,dogs,Cl04,2/3/2019,17:28:27,0,80
H12,dogs,Cl14,2/4/2019,15:42:34,0,80
H12,dogs,dogs,2/26/2019,7:17:55,0,80
H14,dogs,Cl04,12/24/2018,16:25:38,0,78
H14,dogs,Cl04,12/26/2018,11:02:18,1.8,78
H14,dogs,Cl04,1/11/2019,18:08:43,16.3,78
H14,dogs,Cl04,2/3/2019,17:31:02,23,78
H14,dogs,Cl05,1/24/2019,10:00:10,0,78
H14,dogs,Cl06,1/24/2019,10:00:10,0,78
H14,dogs,Cl07,1/24/2019,10:00:11,0,78
H14,dogs,Cl08,12/24/2018,16:29:02,0,78
H14,dogs,Cl08,2/17/2019,15:45:46,55,78
H14,dogs,Cl09,2/17/2019,15:45:46,0,78
H15,dogs,Cl04,2/3/2019,17:47:34,0,78
H16,dogs,Cl10,2/23/2019,11:03:03,0,82
H16,dogs,Cl11,12/20/2018,8:15:17,0,82
H16,dogs,Cl12,2/23/2019,10:39:10,0,82
H16,dogs,Cl13,12/20/2018,8:15:56,0,82
H16,dogs,Cl13,12/28/2018,7:09:56,7.9,82
H18,dogs,Cl04,12/24/2018,17:06:53,0,16
H18,dogs,Cl15,12/26/2018,8:21:06,0,16
H19,dogs,Cl04,12/24/2018,7:26:32,0,17
H19,dogs,Cl04,12/25/2018,13:20:13,1.1,17
H19,dogs,Cl15,12/25/2018,13:19:24,0,17
H19,dogs,Cl16,12/24/2018,10:38:27,0,17
H19,dogs,Cl16,12/25/2018,13:19:24,1.1,17
H19,dogs,Cl17,12/27/2018,15:11:43,0,17
H19,dogs,Cl17,12/28/2018,9:57:34,0.8,17
H19,dogs,dogs,12/28/2018,9:57:49,0,17
H19,dogs,dogs,1/4/2019,6:21:49,6.9,17
