Station,wk_days,cow,dog,horse,people,margay,ocelot,puma,Lpar_01_F,Lpar_02_F,Lpar_03_M,Lpar_04_F,Lpar_05_M,Lpar_06_M,Lpar_07_M,Lpar_08_F,Lpar_09_F,Lpar_10_J,Lpar_11_F,Lpar_12_F,Lpar_13,Lpar_14_M,Lpar_15_M,Lpar_17_M,Lpar_18,Lpar_19_M,Lpar_20,Lpar_21_F,Lpar_22,Lpar_23
H01,79,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H03,79,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H04,78,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H05,79,22,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H07,81,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H09,82,0,2,0,1,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H11,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H12,80,0,12,0,58,2,22,1,0,0,1,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H14,78,0,9,0,62,3,27,6,0,0,0,0,0,0,9,0,16,2,1,0,1,0,0,0,0,0,0,0,0,0
H15,78,0,2,0,44,4,8,4,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H16,82,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18,16,0,2,0,12,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H19,17,7,7,4,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H20,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H21,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H22,75,3,38,120,70,2,6,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H23,83,0,0,0,90,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H25,82,0,4,0,16,0,4,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
H26,82,0,0,0,5,1,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
H28,79,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
H29,82,0,0,0,12,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
H30,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H31,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H32,95,0,1,0,78,3,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
H35,110,0,2,0,142,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1
H36,75,0,1,0,18,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
