sampler,host,location,zone,prev,pos_samp,neg_samp,n
Gostic,dog,Carbonera,A,0.928571429,13,1,14
Gostic,dog,Catalino,A,0.875,7,1,8
Gostic,dog,Enrique,A,1,3,0,3
Gostic,dog,LagunaVista,A,1,6,0,6
Gostic,dog,LookoutInn,A,1,2,0,2
Gostic,dog,Miguel,A,1,4,0,4
Gostic,dog,RioOro,A,1,4,0,4
Gostic,dog,Trino,A,1,2,0,2
Gostic,dog,Carlos,A,1,5,0,5
Gostic,dog,rest,A,0.571428571,16,12,28
Johnson,dog,all,A,0.666666667,12,6,18
Vargas,dog,Canaza,B,0.666666667,2,1,3
Vargas,dog,Drake,D,0.8,4,1,5
Vargas,dog,Guadalupe,C,1,4,0,4
Vargas,dog,Jimenez,B,0.8,8,2,10
Vargas,dog,Rancho,E,0.6,3,2,5
Vargas,dog,Rincon,E,0.4,2,3,5
Vargas,dog,Sandalo,B,0.5,1,1,2
Vargas,dog,Miguel,A,0.6,6,4,10
Vargas,dog,Matapalo,A,1,3,0,3
Vargas,dog,Carate,A,0.4,2,3,5
Vargas,dog,RioOro,A,0.666666667,2,1,3
Vargas,dog,Bijagual,A,0,0,1,1
Vargas,dog,LagunaSilvestre,A,1,1,0,1
Vargas,dog,Adrien,A,0,0,1,1
Vargas,dog,Piro,A,1,1,0,1
Vargas,dog,Arbolito,A,1,1,0,1
Vargas,dog,Esquinas,F,1,1,0,1
Gostic,puma,Piro,A,0.444444444,4,5,9
Vargas,ocelot,Drake,D,0,0,1,1
Vargas,ocelot,Corcovado,G,1,2,0,2
Vargas,ocelot,LapaRios,A,0,0,1,1
Vargas,ocelot,Piro,A,0.25,1,3,4
Vargas,ocelot,Esquinas,F,0,0,1,1
Vargas,ocelot,OsaVerde,A,0,0,3,3
Vargas,puma,Drake,D,0.5,1,1,2
Vargas,puma,Rincon,E,0,0,1,1
Vargas,puma,Corcovado,G,0,0,3,3
Vargas,puma,Adrien,A,0.666666667,2,1,3
Vargas,puma,Piro,A,1,1,0,1
Vargas,puma,OsaVerde,A,0,0,1,1
Vargas,puma,Arbolito,A,0,0,2,2
